,Word,salet guesschain,salet reductions,salet score,reast guesschain,reast reductions,reast score,crate guesschain,crate reductions,crate score,trace guesschain,trace reductions,trace score,slate guesschain,slate reductions,slate score,crane guesschain,crane reductions,crane score,word1,word2,word3,word4,word5
325,tepid,salet their tepid,18,3,reast depth tepid,3,3,crate denet tepid,11,3,trace tepid,1,2,slate inert tepid,13.0,3,crane eisel tepid,18,3,t,e,p,i,d
326,undue,salet dogie undue,32,3,reast dicey judge undue,31,4,crate dogie undue,18,3,trace dogie undue,18,3,slate dogie undue,24.0,3,crane hinge undue,4,3,u,n,d,u,e
327,study,salet stogy study,6,3,reast coits study,6,3,crate snout study,17,3,trace month study,23,3,slate snout study,7.0,3,crane flout study,36,3,s,t,u,d,y
328,eject,salet crept eject,7,3,reast eject,2,2,crate eject,1,2,trace eject,1,2,slate inert eject,13.0,3,crane eject,3,2,e,j,e,c,t
329,chafe,salet ahead chafe,13,3,reast agape chafe,5,3,crate chafe,1,2,trace chafe,1,2,slate frame chafe,6.0,3,crane chafe,1,2,c,h,a,f,e
330,torso,salet rusty torso,4,3,reast torso,1,2,crate story torso,6,3,trace third torso,4,3,slate moist torso,7.0,3,crane lirot torso,16,3,t,o,r,s,o
331,adore,salet ahead adore,13,3,reast amber adore,9,3,crate adore,1,2,trace adore,1,2,slate abune adore,6.0,3,crane adore,1,2,a,d,o,r,e
332,woken,salet fewer woken,17,3,reast dicey woken,30,3,crate dopey woken,18,3,trace dopey woken,18,3,slate remen woken,25.0,3,crane doven woken,12,3,w,o,k,e,n
333,amber,salet abbey amber,3,3,reast amber,8,2,crate amber,5,2,trace amber,5,2,slate abeam amber,10.0,3,crane amber,8,2,a,m,b,e,r
334,joust,salet moist joust,5,3,reast joust,3,2,crate snout joust,17,3,trace month doubt joust,25,4,slate moist joust,7.0,3,crane flout doubt joust,38,4,j,o,u,s,t
335,infer,salet fewer infer,16,3,reast prime infer,20,3,crate fewer infer,16,3,trace fewer infer,16,3,slate remen infer,24.0,3,crane inert infer,5,3,i,n,f,e,r
336,braid,salet acorn braid,15,3,reast braid,6,2,crate braid,1,2,trace braid,1,2,slate charm braid,8.0,3,crane braid,3,2,b,r,a,i,d
337,knock,salet monic knock,36,3,reast could knock,33,3,crate flock knock,6,3,trace cinch knock,5,3,slate monic knock,36.0,3,crane ionic knock,3,3,k,n,o,c,k
338,naive,salet badge farce naive,7,4,reast algae naive,14,3,crate pause badge naive,11,4,trace pause badge naive,11,4,slate abune naive,6.0,3,crane naive,1,2,n,a,i,v,e
339,apply,salet aloud apply,12,3,reast cahow album apply,26,4,crate aloud apply,18,3,trace aloud apply,18,3,slate lairy apply,12.0,3,crane aloft apply,27,3,a,p,p,l,y
340,spoke,salet shine spoke,4,3,reast shine spoke,5,3,crate dogie bloke spoke,21,4,trace dogie bloke spoke,21,4,slate shine spoke,4.0,3,crane dobie spoke,23,3,s,p,o,k,e
341,usual,salet class usual,4,3,reast squad usual,3,3,crate aloud usual,18,3,trace aloud usual,18,3,slate usual,1.0,2,crane aloft usual,28,3,u,s,u,a,l
342,rival,salet aloud rival,12,3,reast rainy rival,4,3,crate manor rival,16,3,trace manor rival,16,3,slate lairy rival,12.0,3,crane molar rival,13,3,r,i,v,a,l
343,probe,salet dogie choke probe,34,4,reast prime probe,19,3,crate prime probe,7,3,trace prime probe,7,3,slate dogie choke probe,26.0,4,crane trope probe,9,3,p,r,o,b,e
344,chord,salet monic chord,36,3,reast droop chord,19,3,crate chord,1,2,trace chord,3,2,slate monic chord,36.0,3,crane chord,1,2,c,h,o,r,d
345,taper,salet cater taper,3,3,reast cater taper,4,3,crate avert taper,4,3,trace taper,1,2,slate acted taper,6.0,3,crane amber parer taper,11,4,t,a,p,e,r
346,slate,salet slate,2,2,reast slate,2,2,crate slate,1,2,trace slate,2,2,slate,0.0,1,crane etape slate,9,3,s,l,a,t,e
347,third,salet youth third,12,3,reast froth third,5,3,crate story third,6,3,trace third,3,2,slate input third,12.0,3,crane lirot third,16,3,t,h,i,r,d
348,lunar,salet aloud lunar,12,3,reast favor lunar,13,3,crate manor lunar,16,3,trace manor lunar,16,3,slate lairy lunar,12.0,3,crane apron lunar,5,3,l,u,n,a,r
349,excel,salet elder excel,8,3,reast dicey excel,29,3,crate excel,2,2,trace cheek excel,5,3,slate leery excel,9.0,3,crane eject excel,4,3,e,x,c,e,l
350,aorta,salet aorta,6,2,reast aorta,2,2,crate aorta,1,2,trace aorta,2,2,slate aorta,2.0,2,crane molar aorta,13,3,a,o,r,t,a
351,poise,salet goose poise,3,3,reast goose poise,3,3,crate dogie poise,18,3,trace dogie poise,18,3,slate goose poise,3.0,3,crane dobie poise,20,3,p,o,i,s,e
352,extra,salet atone extra,4,3,reast cater extra,4,3,crate avert extra,4,3,trace avert extra,3,3,slate acted extra,6.0,3,crane amber extra,9,3,e,x,t,r,a
353,judge,salet dogie judge,33,3,reast dicey judge,30,3,crate dogie judge,19,3,trace dogie judge,19,3,slate dogie judge,25.0,3,crane dobie judge,21,3,j,u,d,g,e
354,condo,salet monic condo,36,3,reast could condo,33,3,crate child condo,9,3,trace could condo,10,3,slate monic condo,36.0,3,crane cinch condo,5,3,c,o,n,d,o
355,impel,salet elder impel,9,3,reast dicey impel,29,3,crate dopey impel,17,3,trace dopey impel,17,3,slate leery impel,9.0,3,crane eisel impel,18,3,i,m,p,e,l
356,havoc,salet carny havoc,17,3,reast cahow havoc,24,3,crate havoc,4,2,trace cacao havoc,9,3,slate carny havoc,24.0,3,crane tacit havoc,6,3,h,a,v,o,c
357,molar,salet allow molar,4,3,reast favor molar,13,3,crate manor molar,16,3,trace manor molar,16,3,slate lairy molar,12.0,3,crane molar,12,2,m,o,l,a,r
358,manly,salet caulk manly,4,3,reast cahow manly,27,3,crate aloud manly,18,3,trace aloud manly,18,3,slate lairy manly,12.0,3,crane natal manly,6,3,m,a,n,l,y
